state,deaths,month,year,pc11_state_id
Tamil Nadu,47231,2,2018,33
Tamil Nadu,38610,12,2019,33
Tamil Nadu,47385,8,2019,33
Tamil Nadu,41051,8,2018,33
Tamil Nadu,34025,12,2018,33
Tamil Nadu,40417,12,2020,33
Tamil Nadu,45913,4,2019,33
Tamil Nadu,43586,4,2018,33
Tamil Nadu,52231,11,2020,33
Tamil Nadu,55390,1,2018,33
Tamil Nadu,47772,3,2019,33
Tamil Nadu,46337,10,2018,33
